table,field,type,required,default,description,references,example,introducedInSchemaVersion
file_locations,fileSize,number,true,,Physical file size in bytes,,10485760,3
file_locations,lastModified,number,true,,Physical file system last modified timestamp,,1718228392102,3
file_locations,availabilityStatus,string,true,available,Reachability status (available / permission-required / missing / unsupported / scan-error),,available,3
file_locations,lastVerifiedAt,string,true,,Timestamp of last verify check,,2026-08-16T12:00:00.000Z,3
file_locations,verificationStatus,string,false,,Status of hash check (provisional / verified / failed),,provisional,3
file_locations,createdAt,string,true,,Timestamp of location registration,,2026-08-16T12:00:00.000Z,3
file_locations,updatedAt,string,true,,Timestamp of location update,,2026-08-16T12:00:00.000Z,3
video_reviews,id,string,true,,Unique review identifier,,rev-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,1
video_reviews,mediaAssetId,string,true,,Foreign key referencing the logical media asset,media_assets.id,vid-f64e28ab-b295-46cb-8d1b-123456789abc,3
video_reviews,reviewerId,string,true,,Foreign key pointing to reviewer,reviewers.id,reviewer-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,4
video_reviews,origin,string,true,local,Origin of review (local / imported),,local,4
video_reviews,overallScore,number,false,,Overall score (1 to 5),,5,4
video_reviews,comment,string,false,,Overall comment (string or null). Maps to sharing JSON free_comment.,,Excellent video.,4
video_reviews,createdAt,string,true,,Timestamp of review creation,,2026-08-16T12:00:00.000Z,1
video_reviews,updatedAt,string,true,,Timestamp of review update,,2026-08-16T12:00:00.000Z,1
video_reviews,sourceReviewId,string,false,,Import元のstable review identity,,rev-remote123,4
video_reviews,sourceReviewerId,string,false,,Import元reviewer identity (sourceReviewId + sourceReviewerId をshared review duplicate identityとして使用),,reviewer-remote123,4
criterion_ratings,id,string,true,,Unique rating identifier,,rate-1a2b3c4d,1
criterion_ratings,videoReviewId,string,true,,Foreign key to the review,video_reviews.id,rev-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,1
criterion_ratings,criterionId,string,true,,Foreign key to rating criterion,rating_criteria.id,crit-lighting,1
criterion_ratings,score,number,false,,Rating score (1 to 5),,4,1
rating_criteria,id,string,true,,Unique criterion identifier,,crit-lighting,1
rating_criteria,name,string,true,,Name of the criterion,,Lighting,1
rating_criteria,description,string,true,,Description of the criterion,,Evaluates the light quality.,1
tags,id,string,true,,Unique tag identifier,,tag-action,1
tags,name,string,true,,Name of the tag,,Action,1
review_tags,id,string,true,,Unique association identifier,,review-tag-8f90-be1f-123456789abc,4
review_tags,videoReviewId,string,true,,Foreign key referencing the review,video_reviews.id,rev-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,4
review_tags,tagId,string,true,,Foreign key referencing the tag,tags.id,tag-action,4
review_tags,createdAt,string,true,,Timestamp of association registration,,2026-08-23T11:00:00.000Z,4
timeline_notes,id,string,true,,Unique timeline note identifier,,note-45f16b05-b287-41a6-a62e-f59964aef438,1
timeline_notes,videoReviewId,string,true,,Foreign key referencing the review,video_reviews.id,rev-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,1
timeline_notes,mediaAssetId,string,true,,Foreign key referencing the media asset,media_assets.id,vid-f64e28ab-b295-46cb-8d1b-123456789abc,3
timeline_notes,timestampSeconds,number,true,,Timestamp of the note in seconds,,12.34,1
timeline_notes,timestampLabel,string,true,,Format representation of timestamp,,00:12,1
timeline_notes,comment,string,true,,Content of note,,Noticeable camera shake.,1
timeline_notes,thumbnailId,string,false,,ID reference to image store in IndexedDB,,img-note-abc,2
timeline_notes,createdAt,string,true,,Timestamp of note creation,,2026-08-16T12:00:00.000Z,1
timeline_notes,sourceCommentId,string,false,,Import元timeline commentのstable identity,,comment-remote123,4
directory_sources,id,string,true,,Unique identifier of directory source,,dir-e9c8b7a6,1
directory_sources,name,string,true,,Directory folder name,,My local videos,1
directory_sources,includeSubdirectories,boolean,true,true,Flag to search in subdirectories,,true,1
directory_sources,permissionStatus,string,true,prompt,FileSystem API status (granted / denied / prompt / disconnected),,granted,1
directory_sources,handleKey,string,true,,IndexedDB key for FileSystemDirectoryHandle,,directory-handle-dir-e9c8b7a6,1
directory_sources,createdAt,string,true,,Timestamp of registration,,2026-08-16T12:00:00.000Z,1
directory_sources,updatedAt,string,true,,Timestamp of update,,2026-08-16T12:00:00.000Z,1
genres,id,string,true,,Unique genre identifier,,genre-action,2
genres,name,string,true,,Internal name of the genre,,action,2
genres,displayTitle,string,true,,Display title of the genre,,Action Movies,2
genres,description,string,false,,Description of the genre,,Action packed movies.,2
genres,createdAt,string,true,,Timestamp of creation,,2026-08-16T12:00:00.000Z,2
genres,updatedAt,string,true,,Timestamp of update,,2026-08-16T12:00:00.000Z,2
evaluation_templates,id,string,true,,Unique template identifier,,temp-action,2
evaluation_templates,genreId,string,true,,Foreign key to genre,genres.id,genre-action,2
evaluation_templates,name,string,true,,Name of the template,,Standard Action evaluation,2
evaluation_templates,criteriaIds,string,true,,Comma-separated criterion IDs,,crit-lighting,crit-acting,2
evaluation_templates,createdAt,string,true,,Timestamp of creation,,2026-08-16T12:00:00.000Z,2
evaluation_templates,updatedAt,string,true,,Timestamp of update,,2026-08-16T12:00:00.000Z,2
pending_shared_reviews,id,string,true,,Unique pending reviewer identifier,,pending-review-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,4
pending_shared_reviews,packageId,string,true,,Package ID reference,,package-standard,4
pending_shared_reviews,videoHash,string,true,,Content hash of target logical video asset,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4
pending_shared_reviews,hashAlgorithm,string,true,sha256,Hashing algorithm of target video,,sha256,4
pending_shared_reviews,reviewerId,string,true,,Reviewer ID reference,,reviewer-xyz,4
pending_shared_reviews,payload,object,true,,Review details payload (holds free_comment overall_score tags timeline_comments etc.),,{},4
pending_shared_reviews,status,string,true,pending,Pending status (pending),,pending,4
pending_shared_reviews,importedAt,string,true,,Timestamp of review import,,2026-08-23T11:00:00.000Z,4
pending_shared_reviews,createdAt,string,true,,Timestamp of pending review record creation,,2026-08-23T11:00:00.000Z,4
pending_shared_reviews,updatedAt,string,true,,Timestamp of pending review record update,,2026-08-23T11:00:00.000Z,4
